time/time_elapsed,train/loss,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,train/n_updates,rollout/exploration rate,train/learning_rate
6,30.974811553955078,-0.41153850999999997,1000,7.22,1110,7767,1816,0.9963106750000001,5e-05
14,23.08692741394043,-0.37354965,2000,7.0,1075,15718,3804,0.99253395,5e-05
22,18.218769073486328,-0.5373101299999999,3000,8.58,1064,23643,5785,0.9887695750000001,5e-05
29,13.077868461608887,-0.19456195,4000,6.78,1057,31674,7793,0.9849548499999998,5e-05
38,10.687161445617676,-0.29688964999999995,5000,8.72,1053,40071,9892,0.9809662749999998,5e-05
46,8.285771369934082,-0.51225996,6000,8.72,1050,48461,11990,0.9769810250000002,5e-05
54,5.221670627593994,-0.02042498999999999,7000,7.67,1048,56630,14032,0.9731007500000002,5e-05
62,4.44484806060791,-0.29192832,8000,7.93,1046,64922,16105,0.9691620500000002,5e-05
70,4.859279155731201,-0.21890758999999999,9000,8.16,1044,73617,18279,0.9650319249999999,5e-05
78,5.27710485458374,-0.13910563,10000,7.12,1042,81832,20332,0.9611298000000003,5e-05
86,3.475029468536377,-0.09875681,11000,8.58,1041,90167,22416,0.9571706750000001,5e-05
94,2.0229146480560303,-0.17906320999999997,12000,6.57,1040,98001,24375,0.9534495250000001,5e-05
102,3.5635452270507812,-0.17384538,13000,8.11,1038,106564,26515,0.9493821,5e-05
110,3.8227224349975586,-0.54114586,14000,8.61,1036,114939,28609,0.9454039750000003,5e-05
119,3.2302942276000977,-0.007022970000000009,15000,8.67,1035,123338,30709,0.9414144500000002,5e-05
127,4.628177165985107,-0.07843859,16000,8.54,1034,131983,32870,0.937308075,5e-05
136,4.144767761230469,0.16176221999999996,17000,9.38,1032,140747,35061,0.933145175,5e-05
144,4.178136348724365,-0.12939653000000004,18000,8.81,1031,149370,37217,0.9290492500000002,5e-05
153,7.412310600280762,-0.13332829000000002,19000,9.38,1030,157966,39366,0.9249661499999998,5e-05
161,5.645562648773193,-0.16123371000000003,20000,9.25,1028,166634,41533,0.92084885,5e-05
170,7.364740371704102,-0.19928906000000002,21000,9.34,1027,175003,43625,0.9168735749999999,5e-05
178,8.980142593383789,-0.10583804999999998,22000,8.42,1026,183668,45791,0.9127576999999999,5e-05
187,8.587597846984863,0.29958690999999993,23000,9.07,1025,192347,47961,0.9086351749999998,5e-05
195,10.944092750549316,-0.30368173000000004,24000,6.69,1024,200709,50052,0.904663225,5e-05
204,10.748469352722168,0.18905260999999998,25000,9.53,1023,209603,52275,0.9004385749999998,5e-05
213,9.939129829406738,0.024030039999999975,26000,8.25,1022,218408,54476,0.8962562000000001,5e-05
222,13.390971183776855,-0.03781113999999999,27000,9.58,1021,227423,56730,0.891974075,5e-05
231,16.662952423095703,-0.15452169999999998,28000,8.75,1019,236516,59003,0.8876549,5e-05
241,14.357515335083008,0.15597442000000003,29000,9.2,1018,245585,61271,0.8833471249999998,5e-05
250,17.477113723754883,0.17691362000000005,30000,10.33,1017,255082,63645,0.8788360500000001,5e-05
259,19.62639808654785,0.19327421,31000,9.44,1016,263819,65829,0.8746859750000002,5e-05
269,15.8262939453125,0.23938389000000004,32000,9.12,1015,273200,68174,0.87023,5e-05
278,14.8413724899292,0.17116436999999998,33000,8.04,1014,282544,70510,0.8657916,5e-05
287,14.39865493774414,0.24078129,34000,9.17,1012,291382,72720,0.86159355,5e-05
297,17.60601234436035,0.046490899999999974,35000,8.13,1011,300668,75041,0.8571827000000003,5e-05
306,13.495720863342285,0.1700546,36000,8.93,1010,309986,77371,0.8527566500000001,5e-05
316,16.334514617919922,0.13933225999999999,37000,10.79,1009,319475,79743,0.848249375,5e-05
326,14.578143119812012,0.22365653,38000,10.0,1008,329342,82210,0.8435625499999999,5e-05
336,12.707528114318848,0.3030710300000001,39000,9.05,1006,339065,84641,0.8389441250000003,5e-05
346,17.584871292114258,0.42523318,40000,10.0,1005,348528,87006,0.8344491999999999,5e-05
356,16.179990768432617,0.19383687000000002,41000,10.1,1004,357787,89321,0.8300511749999998,5e-05
365,15.029064178466797,0.20777226999999995,42000,10.78,1003,367181,91670,0.8255890250000001,5e-05
375,14.212982177734375,-0.00608785000000003,43000,8.71,1002,376934,94108,0.8209563500000001,5e-05
386,14.46230411529541,0.46235687000000003,44000,9.86,1001,386789,96572,0.8162752250000003,5e-05
396,13.965311050415039,0.41938115000000004,45000,9.75,1000,396296,98948,0.8117593999999998,5e-05
406,14.63605785369873,0.36052227000000003,46000,10.16,999,406416,101478,0.8069523999999998,5e-05
416,118.09113311767578,0.36677058,47000,10.0,998,415899,103849,0.8024479750000002,5e-05
427,16.299203872680664,0.43712196000000003,48000,9.64,997,426291,106447,0.7975117750000001,5e-05
437,15.91993236541748,0.41410352999999994,49000,10.38,996,436007,108876,0.7928966749999998,5e-05
448,14.806032180786133,0.7793203600000002,50000,10.74,995,446390,111472,0.7879647500000001,5e-05
458,16.565673828125,0.6210474800000001,51000,10.54,994,456240,113934,0.783286,5e-05
470,16.904279708862305,0.7078977399999999,52000,10.27,992,467075,116643,0.778139375,5e-05
481,17.132083892822266,0.7552501600000001,53000,10.8,991,477486,119246,0.7731941499999999,5e-05
492,15.662558555603027,0.7595713299999999,54000,11.53,990,487730,121807,0.7683282500000003,5e-05
503,14.810383796691895,0.7794446800000001,55000,11.93,989,498589,124522,0.7631702249999999,5e-05
515,18.058286666870117,0.80994164,56000,11.11,988,509243,127185,0.7581095749999999,5e-05
526,19.859182357788086,0.8172520599999998,57000,10.84,987,520031,129882,0.7529852750000001,5e-05
537,16.015607833862305,0.50172412,58000,10.05,986,530475,132493,0.748024375,5e-05
549,19.079391479492188,0.68572502,59000,9.89,985,541086,135146,0.7429841500000003,5e-05
560,147.4729461669922,0.8069759099999999,60000,9.44,984,552029,137882,0.7377862249999998,5e-05
572,13.760696411132812,0.5459932200000001,61000,10.4,983,562840,140584,0.732651,5e-05
584,20.42154312133789,1.08718082,62000,11.12,981,573983,143370,0.7273580749999999,5e-05
596,19.963308334350586,0.9890491399999998,63000,11.72,980,584996,146123,0.7221269000000001,5e-05
608,16.753631591796875,0.8499716100000001,64000,10.78,979,595851,148837,0.7169707749999998,5e-05
620,15.82275390625,0.77525783,65000,9.99,978,606787,151571,0.7117761750000002,5e-05
632,20.13224220275879,0.6957455399999999,66000,10.52,977,617880,154344,0.7065070000000002,5e-05
643,18.33143424987793,0.9187532000000002,67000,10.39,976,628601,157025,0.7014145250000001,5e-05
656,19.040180206298828,1.33349993,68000,10.11,975,639997,159874,0.6960014250000001,5e-05
668,165.52825927734375,1.17030671,69000,10.59,974,651509,162752,0.690533225,5e-05
681,17.65277862548828,1.1747514599999997,70000,12.02,973,663293,165698,0.6849358249999999,5e-05
694,17.931259155273438,1.4024591599999996,71000,12.29,972,674594,168523,0.6795678500000003,5e-05
706,18.7188663482666,1.09472876,72000,11.2,970,686213,171428,0.6740488250000001,5e-05
719,18.8336181640625,1.3888200200000003,73000,11.34,969,697970,174367,0.66846425,5e-05
733,18.386188507080078,1.3822151400000002,74000,11.53,968,710055,177388,0.6627238749999997,5e-05
746,18.099491119384766,1.1295781599999999,75000,11.0,967,721770,180317,0.6571592499999999,5e-05
760,17.87570571899414,1.64236723,76000,14.21,966,734381,183470,0.6511690250000003,5e-05
773,19.669496536254883,1.1190122200000001,77000,11.63,965,746688,186546,0.6453232000000002,5e-05
787,19.63003158569336,1.07555187,78000,12.68,963,758992,189622,0.6394787999999998,5e-05
801,21.436994552612305,1.3059689200000002,79000,13.32,962,771592,192772,0.6334938000000001,5e-05
816,24.449384689331055,1.1450009600000002,80000,11.96,961,784704,196050,0.6272655999999998,5e-05
830,23.46194839477539,1.6278519699999998,81000,13.28,960,797602,199275,0.6211390500000002,5e-05
843,24.118621826171875,2.00918703,82000,13.47,959,809579,202269,0.615449975,5e-05
857,24.89773941040039,2.0799090799999997,83000,13.94,958,822143,205410,0.6094820750000003,5e-05
872,23.698671340942383,1.71545084,84000,13.84,957,835356,208713,0.6032058999999999,5e-05
887,24.251083374023438,1.4371698899999998,85000,11.76,956,848394,211973,0.59701285,5e-05
902,28.084877014160156,1.9817324300000003,86000,14.79,954,862083,215395,0.5905105749999999,5e-05
917,25.679874420166016,1.8970704999999999,87000,12.29,953,874980,218619,0.5843845000000002,5e-05
932,30.16259765625,1.9910454,88000,13.08,952,888721,222055,0.577857525,5e-05
947,28.338523864746094,2.2178722599999996,89000,14.95,951,901994,225373,0.5715528499999998,5e-05
964,30.217697143554688,1.5506519600000002,90000,12.84,950,916535,229008,0.5646458749999999,5e-05
981,33.03947830200195,1.87002654,91000,13.67,949,931179,232669,0.5576899750000002,5e-05
997,37.932395935058594,2.4361639499999996,92000,17.22,947,945719,236304,0.5507834749999998,5e-05
1014,37.06134796142578,2.7297174,93000,16.16,946,960397,239974,0.5438114250000003,5e-05
1031,35.78937530517578,2.32445308,94000,15.14,945,975113,243653,0.5368213250000002,5e-05
1047,38.86628723144531,2.21572292,95000,14.02,944,989163,247165,0.5301475750000002,5e-05
1063,42.087318420410156,2.3025310599999997,96000,15.22,943,1003374,250718,0.52339735,5e-05
1081,44.04285430908203,2.17129343,97000,15.97,942,1018641,254535,0.516145525,5e-05
1099,40.13264083862305,2.3916327799999997,98000,16.42,940,1034378,258469,0.5086704499999999,5e-05
1116,39.00324630737305,2.3699339100000003,99000,14.42,939,1049326,262206,0.5015701499999998,5e-05
1134,49.76332473754883,2.69911516,100000,14.79,938,1065074,266143,0.49408984999999994,5e-05
1152,40.965476989746094,2.33486098,101000,13.96,937,1080161,269915,0.48692352500000036,5e-05
1171,240.12327575683594,2.7240020900000004,102000,16.32,936,1096683,274045,0.47907557499999975,5e-05
1189,45.10560989379883,2.10732146,103000,13.71,934,1112560,278014,0.471534,5e-05
1210,46.070335388183594,2.82749256,104000,17.77,933,1129738,282309,0.46337445,5e-05
1228,48.88496017456055,3.1429842900000007,105000,17.12,932,1145812,286327,0.4557393000000004,5e-05
1249,51.77832794189453,4.17914597,106000,19.51,931,1163817,290829,0.4471869249999999,5e-05
1270,60.48633575439453,3.4610072199999995,107000,18.78,929,1180992,295122,0.4390288000000002,5e-05
1290,55.63236618041992,3.37503363,108000,17.01,928,1198286,299446,0.43081415000000034,5e-05
1312,62.3628044128418,3.8075921400000006,109000,18.58,927,1217168,304166,0.42184520000000025,5e-05
1334,56.00216293334961,3.9006825299999996,110000,17.46,925,1235464,308740,0.41315460000000026,5e-05
1357,73.08441925048828,4.48256179,111000,19.71,924,1254871,313592,0.4039362750000003,5e-05
1380,73.6114501953125,3.79412534,112000,18.71,923,1274545,318511,0.39459112499999993,5e-05
1403,69.39949798583984,4.7809695,113000,20.31,921,1293973,323368,0.3853628250000004,5e-05
1427,76.51534271240234,4.9352244800000005,114000,18.43,920,1313471,328242,0.37610127500000035,5e-05
1452,83.4647445678711,5.050266919999999,115000,20.25,918,1334392,333472,0.36616380000000015,5e-05
1477,87.111328125,6.66218141,116000,24.75,917,1355800,338824,0.35599499999999995,5e-05
1504,84.9953384399414,5.1463085799999995,117000,17.99,915,1377795,344323,0.3455473750000003,5e-05
1531,105.31211853027344,7.660590709999999,118000,25.41,914,1400345,349961,0.3348361249999998,5e-05
1557,115.3763427734375,5.978930840000001,119000,20.9,912,1422281,355445,0.3244165250000003,5e-05
1586,129.11154174804688,8.85812378,120000,28.29,911,1445687,361296,0.3132986750000001,5e-05
1615,143.22216796875,6.864293079999999,121000,23.14,909,1469737,367309,0.3018749250000001,5e-05
1646,170.39410400390625,8.131020040000001,122000,26.93,907,1495389,373722,0.28969022499999997,5e-05
1679,161.9171905517578,7.743057889999999,123000,25.1,906,1521738,380309,0.27717444999999996,5e-05
1712,198.1993865966797,9.89776119,124000,30.78,904,1549281,387195,0.264091525,5e-05
1748,235.7813262939453,9.91753893,125000,31.24,902,1577889,394347,0.2505027249999999,5e-05
1782,270.078857421875,8.87213121,126000,27.46,901,1606613,401528,0.236858825,5e-05
1819,282.6667175292969,11.126733609999999,127000,33.74,899,1636405,408976,0.2227076250000003,5e-05
1858,324.28192138671875,11.481829620000001,128000,33.92,897,1668104,416900,0.20765060000000002,5e-05
1900,363.27349853515625,10.918404630000003,129000,31.45,895,1701879,425344,0.1916074750000003,5e-05
1946,399.3349914550781,14.927970989999999,130000,38.89,893,1738345,434461,0.17428612500000007,5e-05
1992,433.2816162109375,15.33255131,131000,39.84,890,1775051,443637,0.15685077500000022,5e-05
2043,458.62432861328125,14.711636739999996,132000,36.41,888,1815749,453812,0.13751922500000013,5e-05
2098,467.55499267578125,19.82056934,133000,46.5,885,1859412,464727,0.11677929999999992,5e-05
2160,536.6030883789062,22.381717790000003,134000,56.16,883,1908128,476906,0.09363920000000014,5e-05
2233,590.47265625,23.313231779999995,135000,53.87,879,1965070,491142,0.06659175000000017,5e-05
2311,630.0845336914062,20.58839112,136000,54.45,876,2026140,506409,0.05,5e-05
2388,613.658447265625,25.065811129999997,137000,55.11,873,2086648,521536,0.05,5e-05
2470,592.4765014648438,25.73444362,138000,60.59,870,2149997,537374,0.05,5e-05
2552,680.2565307617188,30.116474150000002,139000,66.92,867,2214288,553446,0.05,5e-05
2640,585.491455078125,28.64338284,140000,66.39,864,2282516,570503,0.05,5e-05
2724,481.51715087890625,28.846988629999995,141000,64.26,861,2348109,586902,0.05,5e-05
2810,503.8855285644531,29.61193805,142000,69.11,859,2415356,603713,0.05,5e-05
2896,535.96630859375,29.54526886,143000,66.76,857,2482259,620439,0.05,5e-05
2983,428.8600158691406,30.172502249999997,144000,65.03,854,2549979,637369,0.05,5e-05
3066,343.07586669921875,29.57594873,145000,64.95,852,2614954,653613,0.05,5e-05
3156,304.2952575683594,33.33445986,146000,72.23,850,2684999,671124,0.05,5e-05
3246,247.2948455810547,31.27169844,147000,69.94,848,2754927,688606,0.05,5e-05
3332,180.50440979003906,32.52547757,148000,71.66,846,2822375,705468,0.05,5e-05
3417,173.79086303710938,31.038597030000002,149000,69.12,845,2888094,721898,0.05,5e-05
3505,146.06333923339844,34.71827360999999,150000,73.02,843,2956616,739028,0.05,5e-05
3592,107.72408294677734,32.82815161999999,151000,70.48,841,3024298,755949,0.05,5e-05
3679,94.17495727539062,30.157858820000012,152000,66.52,840,3091757,772814,0.05,5e-05
3768,89.12787628173828,34.418309380000004,153000,73.05,838,3160533,790008,0.05,5e-05
3852,75.02423095703125,31.676611019999996,154000,67.9,837,3226463,806490,0.05,5e-05
3938,66.66901397705078,31.642402529999995,155000,69.62,836,3293182,823170,0.05,5e-05
4024,64.88671112060547,27.12829941,156000,58.89,834,3360426,839981,0.05,5e-05
4110,56.23774337768555,29.621110719999994,157000,66.48,833,3427102,856650,0.05,5e-05
4196,52.88507843017578,27.93965453,158000,61.31,832,3494797,873574,0.05,5e-05
4282,120.55815124511719,32.53023776,159000,70.42,831,3561546,890261,0.05,5e-05
4367,57.11410140991211,32.79753291000001,160000,69.57,830,3628052,906887,0.05,5e-05
4453,137.32406616210938,29.084777610000007,161000,61.61,829,3694415,923478,0.05,5e-05
4540,74.72058868408203,29.11834834,162000,63.05,828,3762011,940377,0.05,5e-05
4626,90.2606201171875,29.397139779999996,163000,65.32,827,3829047,957136,0.05,5e-05
4711,69.65760803222656,30.75001175,164000,65.0,826,3895305,973701,0.05,5e-05
4794,93.2992172241211,29.2477903,165000,62.18,826,3960571,990017,0.05,5e-05
4874,93.56787872314453,31.880223479999998,166000,66.84,825,4022594,1005523,0.05,5e-05
4958,93.46858978271484,29.006720509999994,167000,61.26,824,4088626,1022031,0.05,5e-05
5043,86.33900451660156,30.644645370000006,168000,64.93,823,4154886,1038596,0.05,5e-05
5128,109.23489379882812,32.91089195,169000,67.93,823,4220527,1055006,0.05,5e-05
5214,91.7571792602539,33.99992237000001,170000,71.36,822,4287662,1071790,0.05,5e-05
5300,96.32747650146484,30.739697149999994,171000,65.07,821,4354280,1088444,0.05,5e-05
5387,84.22444915771484,32.771924070000004,172000,70.89,820,4422277,1105444,0.05,5e-05
5473,98.9439697265625,29.551891270000002,173000,65.37,820,4489671,1122292,0.05,5e-05
5559,110.65130615234375,33.24660926,174000,69.77,819,4556166,1138916,0.05,5e-05
5645,197.67323303222656,30.387642699999997,175000,66.65,818,4622701,1155550,0.05,5e-05
5731,94.01370239257812,30.064927749999995,176000,66.95,818,4690381,1172470,0.05,5e-05
5816,94.30001068115234,31.531625130000002,177000,68.22,817,4757312,1189202,0.05,5e-05
5902,80.83247375488281,30.080157109999995,178000,65.7,817,4824449,1205987,0.05,5e-05
5988,74.72724914550781,29.27250916000001,179000,63.2,816,4891768,1222816,0.05,5e-05
6074,103.25084686279297,29.051127029999993,180000,63.97,816,4958448,1239486,0.05,5e-05
6161,124.65409088134766,34.346930459999996,181000,73.13,815,5026745,1256561,0.05,5e-05
6249,82.20941162109375,32.54953876,182000,67.18,815,5095155,1273663,0.05,5e-05
6334,103.32994079589844,29.200372220000006,183000,62.9,814,5161638,1290284,0.05,5e-05
6420,93.33667755126953,34.51719756000001,184000,72.82,814,5228170,1306917,0.05,5e-05
6505,87.72927856445312,31.363661990000004,185000,67.93,813,5294495,1323498,0.05,5e-05
6588,133.88841247558594,29.635121229999996,186000,60.66,813,5359242,1339685,0.05,5e-05
6673,98.03595733642578,32.949971680000004,187000,68.94,813,5425444,1356235,0.05,5e-05
6759,101.98086547851562,33.69925213,188000,68.31,812,5492903,1373100,0.05,5e-05
6845,91.18115234375,33.85293229,189000,68.46,812,5559938,1389859,0.05,5e-05
6934,111.18759155273438,31.93048042,190000,70.01,811,5628829,1407082,0.05,5e-05
7020,111.02759552001953,27.826717000000002,191000,58.68,811,5695704,1423800,0.05,5e-05
7102,97.94551849365234,27.85713092,192000,60.15,810,5759641,1439785,0.05,5e-05
7185,91.8790283203125,29.47014716,193000,61.21,810,5824157,1455914,0.05,5e-05
7273,145.4458770751953,30.259336109999996,194000,64.14,810,5893022,1473130,0.05,5e-05
7358,113.98031616210938,32.84386855,195000,67.0,809,5958718,1489554,0.05,5e-05
7443,102.62141418457031,32.34861267,196000,69.54,809,6024947,1506111,0.05,5e-05
7528,95.39649963378906,30.828443720000006,197000,65.72,809,6091690,1522797,0.05,5e-05
7613,109.67916107177734,31.500218930000006,198000,66.78,808,6157753,1539313,0.05,5e-05
7701,110.9001235961914,33.51652793,199000,69.16,808,6225973,1556368,0.05,5e-05
7792,137.47523498535156,30.626945999999993,200000,66.13,808,6296414,1573978,0.05,5e-05
7876,117.30429077148438,30.76169373,201000,65.81,807,6362146,1590411,0.05,5e-05
7964,118.25018310546875,29.34676254,202000,69.11,807,6430314,1607453,0.05,5e-05
8049,143.69375610351562,30.40768371,203000,66.12,807,6497052,1624137,0.05,5e-05
8134,174.72921752929688,27.43421055,204000,64.96,806,6563690,1640797,0.05,5e-05
8204,302.0691833496094,17.69340664,205000,42.55,806,6618652,1654537,0.05,5e-05
8285,255.3204803466797,30.64874962,206000,71.22,806,6681421,1670230,0.05,5e-05
8363,319.6332092285156,24.01815979,207000,56.15,806,6742359,1685464,0.05,5e-05
8436,276.1120300292969,26.475267940000002,208000,64.62,805,6799276,1699693,0.05,5e-05
8517,236.54847717285156,24.38132621999999,209000,58.35,805,6862494,1715498,0.05,5e-05
8599,184.4215545654297,25.52472225,210000,55.02,805,6926162,1731415,0.05,5e-05
8668,302.9735412597656,26.017917549999993,211000,55.65,805,6979604,1744775,0.05,5e-05
8736,151.03134155273438,22.618562050000005,212000,50.47,805,7032601,1758025,0.05,5e-05
8809,159.7448272705078,30.094590600000007,213000,62.85,804,7090042,1772385,0.05,5e-05
8892,141.7647705078125,32.01553243,214000,66.28,804,7154450,1788487,0.05,5e-05
8978,131.28302001953125,30.2756996,215000,65.44,804,7221523,1805255,0.05,5e-05
9058,141.93809509277344,29.25049103,216000,60.72,804,7284700,1821049,0.05,5e-05
9142,122.03533172607422,30.408716119999998,217000,64.9,803,7349833,1837333,0.05,5e-05
9227,122.81334686279297,30.046803910000005,218000,62.66,803,7415781,1853820,0.05,5e-05
9313,98.01480102539062,35.11587998,219000,72.59,803,7483296,1870698,0.05,5e-05
9399,117.08295440673828,33.95377804,220000,69.17,803,7551228,1887681,0.05,5e-05
9487,97.6771011352539,33.429026670000006,221000,67.52,803,7619220,1904679,0.05,5e-05
9574,104.34626770019531,31.573936510000003,222000,64.91,802,7687036,1921633,0.05,5e-05
9662,99.19932556152344,35.82910346999999,223000,72.88,802,7755088,1938646,0.05,5e-05
9749,84.21857452392578,32.4646635,224000,66.26,802,7822699,1955549,0.05,5e-05
9832,81.08769989013672,31.485028490000005,225000,63.51,802,7887790,1971822,0.05,5e-05
9920,80.4545669555664,30.530692590000005,226000,62.8,801,7955786,1988821,0.05,5e-05
10004,64.10842895507812,34.96230558,227000,73.74,801,8022555,2005513,0.05,5e-05
10091,83.233154296875,32.19556662,228000,66.08,801,8090694,2022548,0.05,5e-05
10177,74.96630859375,34.58231980000001,229000,70.85,801,8158439,2039484,0.05,5e-05
10264,66.50294494628906,30.93947997,230000,64.23,801,8226733,2056558,0.05,5e-05
10350,98.29812622070312,29.9082627,231000,61.18,801,8293112,2073152,0.05,5e-05
10438,76.51371765136719,31.439235399999998,232000,65.27,801,8361536,2090258,0.05,5e-05
10526,58.411590576171875,34.896220410000005,233000,68.32,800,8429794,2107323,0.05,5e-05
10613,68.46097564697266,35.582485160000004,234000,72.17,800,8497723,2124305,0.05,5e-05
10697,61.89973449707031,33.444411120000005,235000,65.05,800,8563042,2140635,0.05,5e-05
10781,69.71074676513672,32.855998150000005,236000,66.23,800,8628170,2156917,0.05,5e-05
10863,90.4520492553711,29.584090890000002,237000,58.93,800,8691718,2172804,0.05,5e-05
10948,149.39573669433594,31.850546830000006,238000,65.01,799,8758453,2189488,0.05,5e-05
11034,85.4219741821289,32.612301710000004,239000,67.21,799,8825593,2206273,0.05,5e-05
11121,65.55941009521484,34.069813700000005,240000,67.98,799,8893360,2223214,0.05,5e-05
11207,77.85671997070312,31.34639597,241000,64.97,799,8960352,2239962,0.05,5e-05
11294,73.26206970214844,31.82464352,242000,64.29,799,9027999,2256874,0.05,5e-05
11378,89.25967407226562,34.314108309999995,243000,70.98,799,9092892,2273097,0.05,5e-05
11464,83.31554412841797,32.184230979999995,244000,67.19,798,9160404,2289975,0.05,5e-05
11550,78.98657989501953,35.73989449,245000,72.72,798,9227351,2306712,0.05,5e-05
11636,88.67279052734375,32.854566170000005,246000,67.65,798,9294068,2323391,0.05,5e-05
11721,80.49502563476562,32.57613506,247000,65.25,798,9360131,2339907,0.05,5e-05
11806,73.48051452636719,35.348622989999996,248000,72.14,798,9426948,2356611,0.05,5e-05
11893,146.26947021484375,32.19856105,249000,63.68,798,9494298,2373449,0.05,5e-05
11976,78.18692016601562,32.73996034,250000,66.69,798,9559327,2389706,0.05,5e-05
12061,92.7208251953125,34.71472762,251000,71.98,798,9625062,2406140,0.05,5e-05
12145,101.42449951171875,35.557395459999995,252000,70.48,797,9690790,2422572,0.05,5e-05
12232,153.0042266845703,32.73761817,253000,65.54,797,9758196,2439423,0.05,5e-05
12316,74.37393188476562,33.67297672,254000,65.69,797,9823686,2455796,0.05,5e-05
12404,72.14220428466797,33.96693343,255000,67.31,797,9892621,2473030,0.05,5e-05
12492,97.14546966552734,34.48866204,256000,69.38,797,9960533,2490008,0.05,5e-05
